 time           time           time           v(net6)       
 0.0000000e+00  0.0000000e+00  0.0000000e+00  2.9073741e-02 
 5.0000000e-10  5.0000000e-10  5.0000000e-10  2.9073741e-02 
 1.0000000e-09  1.0000000e-09  1.0000000e-09  2.9073741e-02 
 2.0000000e-09  2.0000000e-09  2.0000000e-09  2.9073741e-02 
 4.0000000e-09  4.0000000e-09  4.0000000e-09  2.9073741e-02 
 8.0000000e-09  8.0000000e-09  8.0000000e-09  2.9073741e-02 
 1.6000000e-08  1.6000000e-08  1.6000000e-08  2.9073741e-02 
 3.2000000e-08  3.2000000e-08  3.2000000e-08  2.9073741e-02 
 6.4000000e-08  6.4000000e-08  6.4000000e-08  2.9073741e-02 
 1.1400000e-07  1.1400000e-07  1.1400000e-07  2.9073741e-02 
 1.6400000e-07  1.6400000e-07  1.6400000e-07  2.9073741e-02 
 2.1400000e-07  2.1400000e-07  2.1400000e-07  2.9073741e-02 
 2.6400000e-07  2.6400000e-07  2.6400000e-07  2.9073741e-02 
 3.1400000e-07  3.1400000e-07  3.1400000e-07  2.9073741e-02 
 3.6400000e-07  3.6400000e-07  3.6400000e-07  2.9073741e-02 
 4.1400000e-07  4.1400000e-07  4.1400000e-07  2.9073741e-02 
 4.6400000e-07  4.6400000e-07  4.6400000e-07  2.9073741e-02 
 5.0000000e-07  5.0000000e-07  5.0000000e-07  2.9073741e-02 
 5.0500000e-07  5.0500000e-07  5.0500000e-07  2.9771374e-02 
 5.1500000e-07  5.1500000e-07  5.1500000e-07  3.3939119e-02 
 5.3500000e-07  5.3500000e-07  5.3500000e-07  6.6434747e-02 
 5.5617339e-07  5.5617339e-07  5.5617339e-07  1.4118657e-01 
 5.9852017e-07  5.9852017e-07  5.9852017e-07  3.5564935e-01 
 6.4852017e-07  6.4852017e-07  6.4852017e-07  6.3728776e-01 
 6.9852017e-07  6.9852017e-07  6.9852017e-07  9.1817317e-01 
 7.4852017e-07  7.4852017e-07  7.4852017e-07  1.1092476e+00 
 7.9852017e-07  7.9852017e-07  7.9852017e-07  1.1579986e+00 
 8.4852017e-07  8.4852017e-07  8.4852017e-07  1.1679663e+00 
 8.9852017e-07  8.9852017e-07  8.9852017e-07  1.1783485e+00 
 9.4852017e-07  9.4852017e-07  9.4852017e-07  1.1788483e+00 
 9.9852017e-07  9.9852017e-07  9.9852017e-07  1.1799479e+00 
 1.0000000e-06  1.0000000e-06  1.0000000e-06  1.1798717e+00 
 1.0029597e-06  1.0029597e-06  1.0029597e-06  1.1797898e+00 
 1.0088790e-06  1.0088790e-06  1.0088790e-06  1.1796880e+00 
 1.0207176e-06  1.0207176e-06  1.0207176e-06  1.1796557e+00 
 1.0443948e-06  1.0443948e-06  1.0443948e-06  1.1796728e+00 
 1.0917492e-06  1.0917492e-06  1.0917492e-06  1.1796816e+00 
 1.1417492e-06  1.1417492e-06  1.1417492e-06  1.1796849e+00 
 1.1917492e-06  1.1917492e-06  1.1917492e-06  1.1796845e+00 
 1.2417492e-06  1.2417492e-06  1.2417492e-06  1.1796851e+00 
 1.2917492e-06  1.2917492e-06  1.2917492e-06  1.1796848e+00 
 1.3417492e-06  1.3417492e-06  1.3417492e-06  1.1796850e+00 
 1.3917492e-06  1.3917492e-06  1.3917492e-06  1.1796849e+00 
 1.4417492e-06  1.4417492e-06  1.4417492e-06  1.1796850e+00 
 1.4917492e-06  1.4917492e-06  1.4917492e-06  1.1796849e+00 
 1.5417492e-06  1.5417492e-06  1.5417492e-06  1.1796849e+00 
 1.5917492e-06  1.5917492e-06  1.5917492e-06  1.1796849e+00 
 1.6417492e-06  1.6417492e-06  1.6417492e-06  1.1796849e+00 
 1.6917492e-06  1.6917492e-06  1.6917492e-06  1.1796849e+00 
 1.7417492e-06  1.7417492e-06  1.7417492e-06  1.1796849e+00 
 1.7917492e-06  1.7917492e-06  1.7917492e-06  1.1796849e+00 
 1.8417492e-06  1.8417492e-06  1.8417492e-06  1.1796849e+00 
 1.8917492e-06  1.8917492e-06  1.8917492e-06  1.1796849e+00 
 1.9417492e-06  1.9417492e-06  1.9417492e-06  1.1796849e+00 
 1.9917492e-06  1.9917492e-06  1.9917492e-06  1.1796849e+00 
 2.0417492e-06  2.0417492e-06  2.0417492e-06  1.1796849e+00 
 2.0917492e-06  2.0917492e-06  2.0917492e-06  1.1796849e+00 
 2.1417492e-06  2.1417492e-06  2.1417492e-06  1.1796849e+00 
 2.1917492e-06  2.1917492e-06  2.1917492e-06  1.1796849e+00 
 2.2417492e-06  2.2417492e-06  2.2417492e-06  1.1796849e+00 
 2.2917492e-06  2.2917492e-06  2.2917492e-06  1.1796849e+00 
 2.3417492e-06  2.3417492e-06  2.3417492e-06  1.1796849e+00 
 2.3917492e-06  2.3917492e-06  2.3917492e-06  1.1796849e+00 
 2.4417492e-06  2.4417492e-06  2.4417492e-06  1.1796849e+00 
 2.4917492e-06  2.4917492e-06  2.4917492e-06  1.1796849e+00 
 2.5417492e-06  2.5417492e-06  2.5417492e-06  1.1796849e+00 
 2.5917492e-06  2.5917492e-06  2.5917492e-06  1.1796849e+00 
 2.6417492e-06  2.6417492e-06  2.6417492e-06  1.1796849e+00 
 2.6917492e-06  2.6917492e-06  2.6917492e-06  1.1796849e+00 
 2.7417492e-06  2.7417492e-06  2.7417492e-06  1.1796849e+00 
 2.7917492e-06  2.7917492e-06  2.7917492e-06  1.1796849e+00 
 2.8417492e-06  2.8417492e-06  2.8417492e-06  1.1796849e+00 
 2.8917492e-06  2.8917492e-06  2.8917492e-06  1.1796849e+00 
 2.9417492e-06  2.9417492e-06  2.9417492e-06  1.1796849e+00 
 2.9917492e-06  2.9917492e-06  2.9917492e-06  1.1796849e+00 
 3.0417492e-06  3.0417492e-06  3.0417492e-06  1.1796849e+00 
 3.0917492e-06  3.0917492e-06  3.0917492e-06  1.1796849e+00 
 3.1417492e-06  3.1417492e-06  3.1417492e-06  1.1796849e+00 
 3.1917492e-06  3.1917492e-06  3.1917492e-06  1.1796849e+00 
 3.2417492e-06  3.2417492e-06  3.2417492e-06  1.1796849e+00 
 3.2917492e-06  3.2917492e-06  3.2917492e-06  1.1796849e+00 
 3.3417492e-06  3.3417492e-06  3.3417492e-06  1.1796849e+00 
 3.3917492e-06  3.3917492e-06  3.3917492e-06  1.1796849e+00 
 3.4417492e-06  3.4417492e-06  3.4417492e-06  1.1796849e+00 
 3.4917492e-06  3.4917492e-06  3.4917492e-06  1.1796849e+00 
 3.5417492e-06  3.5417492e-06  3.5417492e-06  1.1796849e+00 
 3.5917492e-06  3.5917492e-06  3.5917492e-06  1.1796849e+00 
 3.6417492e-06  3.6417492e-06  3.6417492e-06  1.1796849e+00 
 3.6917492e-06  3.6917492e-06  3.6917492e-06  1.1796849e+00 
 3.7417492e-06  3.7417492e-06  3.7417492e-06  1.1796849e+00 
 3.7917492e-06  3.7917492e-06  3.7917492e-06  1.1796849e+00 
 3.8417492e-06  3.8417492e-06  3.8417492e-06  1.1796849e+00 
 3.8917492e-06  3.8917492e-06  3.8917492e-06  1.1796849e+00 
 3.9417492e-06  3.9417492e-06  3.9417492e-06  1.1796849e+00 
 3.9917492e-06  3.9917492e-06  3.9917492e-06  1.1796849e+00 
 4.0417492e-06  4.0417492e-06  4.0417492e-06  1.1796849e+00 
 4.0917492e-06  4.0917492e-06  4.0917492e-06  1.1796849e+00 
 4.1417492e-06  4.1417492e-06  4.1417492e-06  1.1796849e+00 
 4.1917492e-06  4.1917492e-06  4.1917492e-06  1.1796849e+00 
 4.2417492e-06  4.2417492e-06  4.2417492e-06  1.1796849e+00 
 4.2917492e-06  4.2917492e-06  4.2917492e-06  1.1796849e+00 
 4.3417492e-06  4.3417492e-06  4.3417492e-06  1.1796849e+00 
 4.3917492e-06  4.3917492e-06  4.3917492e-06  1.1796849e+00 
 4.4417492e-06  4.4417492e-06  4.4417492e-06  1.1796849e+00 
 4.4917492e-06  4.4917492e-06  4.4917492e-06  1.1796849e+00 
 4.5417492e-06  4.5417492e-06  4.5417492e-06  1.1796849e+00 
 4.5917492e-06  4.5917492e-06  4.5917492e-06  1.1796849e+00 
 4.6417492e-06  4.6417492e-06  4.6417492e-06  1.1796849e+00 
 4.6917492e-06  4.6917492e-06  4.6917492e-06  1.1796849e+00 
 4.7417492e-06  4.7417492e-06  4.7417492e-06  1.1796849e+00 
 4.7917492e-06  4.7917492e-06  4.7917492e-06  1.1796849e+00 
 4.8417492e-06  4.8417492e-06  4.8417492e-06  1.1796849e+00 
 4.8917492e-06  4.8917492e-06  4.8917492e-06  1.1796849e+00 
 4.9417492e-06  4.9417492e-06  4.9417492e-06  1.1796849e+00 
 4.9917492e-06  4.9917492e-06  4.9917492e-06  1.1796849e+00 
 5.0417492e-06  5.0417492e-06  5.0417492e-06  1.1796849e+00 
 5.0917492e-06  5.0917492e-06  5.0917492e-06  1.1796849e+00 
 5.1417492e-06  5.1417492e-06  5.1417492e-06  1.1796849e+00 
 5.1917492e-06  5.1917492e-06  5.1917492e-06  1.1796849e+00 
 5.2417492e-06  5.2417492e-06  5.2417492e-06  1.1796849e+00 
 5.2917492e-06  5.2917492e-06  5.2917492e-06  1.1796849e+00 
 5.3417492e-06  5.3417492e-06  5.3417492e-06  1.1796849e+00 
 5.3917492e-06  5.3917492e-06  5.3917492e-06  1.1796849e+00 
 5.4417492e-06  5.4417492e-06  5.4417492e-06  1.1796849e+00 
 5.4917492e-06  5.4917492e-06  5.4917492e-06  1.1796849e+00 
 5.5000000e-06  5.5000000e-06  5.5000000e-06  1.1796849e+00 
 5.5050000e-06  5.5050000e-06  5.5050000e-06  1.1796837e+00 
 5.5150000e-06  5.5150000e-06  5.5150000e-06  1.1796814e+00 
 5.5350000e-06  5.5350000e-06  5.5350000e-06  1.1796786e+00 
 5.5750000e-06  5.5750000e-06  5.5750000e-06  1.1796797e+00 
 5.6250000e-06  5.6250000e-06  5.6250000e-06  1.1796879e+00 
 5.6750000e-06  5.6750000e-06  5.6750000e-06  1.1797080e+00 
 5.7250000e-06  5.7250000e-06  5.7250000e-06  1.1797609e+00 
 5.7750000e-06  5.7750000e-06  5.7750000e-06  1.1798995e+00 
 5.8250000e-06  5.8250000e-06  5.8250000e-06  1.1801893e+00 
 5.8750000e-06  5.8750000e-06  5.8750000e-06  1.1805882e+00 
 5.9250000e-06  5.9250000e-06  5.9250000e-06  1.1805963e+00 
 5.9750000e-06  5.9750000e-06  5.9750000e-06  1.1798846e+00 
 6.0000000e-06  6.0000000e-06  6.0000000e-06  1.1797801e+00 
 6.0050000e-06  6.0050000e-06  6.0050000e-06  1.1795605e+00 
 6.0150000e-06  6.0150000e-06  6.0150000e-06  1.1788508e+00 
 6.0350000e-06  6.0350000e-06  6.0350000e-06  1.1770851e+00 
 6.0750000e-06  6.0750000e-06  6.0750000e-06  1.1746613e+00 
 6.1250000e-06  6.1250000e-06  6.1250000e-06  1.1726299e+00 
 6.1750000e-06  6.1750000e-06  6.1750000e-06  1.1707542e+00 
 6.2250000e-06  6.2250000e-06  6.2250000e-06  1.1688947e+00 
 6.2750000e-06  6.2750000e-06  6.2750000e-06  1.1669699e+00 
 6.3250000e-06  6.3250000e-06  6.3250000e-06  1.1649738e+00 
 6.3750000e-06  6.3750000e-06  6.3750000e-06  1.1628876e+00 
 6.4250000e-06  6.4250000e-06  6.4250000e-06  1.1607076e+00 
 6.4750000e-06  6.4750000e-06  6.4750000e-06  1.1584283e+00 
 6.5250000e-06  6.5250000e-06  6.5250000e-06  1.1560470e+00 
 6.5750000e-06  6.5750000e-06  6.5750000e-06  1.1535623e+00 
 6.6250000e-06  6.6250000e-06  6.6250000e-06  1.1509732e+00 
 6.6750000e-06  6.6750000e-06  6.6750000e-06  1.1482803e+00 
 6.7250000e-06  6.7250000e-06  6.7250000e-06  1.1454841e+00 
 6.7750000e-06  6.7750000e-06  6.7750000e-06  1.1425865e+00 
 6.8250000e-06  6.8250000e-06  6.8250000e-06  1.1395892e+00 
 6.8750000e-06  6.8750000e-06  6.8750000e-06  1.1364949e+00 
 6.9250000e-06  6.9250000e-06  6.9250000e-06  1.1333062e+00 
 6.9750000e-06  6.9750000e-06  6.9750000e-06  1.1300260e+00 
 7.0250000e-06  7.0250000e-06  7.0250000e-06  1.1266573e+00 
 7.0750000e-06  7.0750000e-06  7.0750000e-06  1.1232029e+00 
 7.1250000e-06  7.1250000e-06  7.1250000e-06  1.1196657e+00 
 7.1750000e-06  7.1750000e-06  7.1750000e-06  1.1160483e+00 
 7.2250000e-06  7.2250000e-06  7.2250000e-06  1.1123532e+00 
 7.2750000e-06  7.2750000e-06  7.2750000e-06  1.1085825e+00 
 7.3250000e-06  7.3250000e-06  7.3250000e-06  1.1047382e+00 
 7.3750000e-06  7.3750000e-06  7.3750000e-06  1.1008222e+00 
 7.4250000e-06  7.4250000e-06  7.4250000e-06  1.0968358e+00 
 7.4750000e-06  7.4750000e-06  7.4750000e-06  1.0927807e+00 
 7.5250000e-06  7.5250000e-06  7.5250000e-06  1.0886581e+00 
 7.5750000e-06  7.5750000e-06  7.5750000e-06  1.0844695e+00 
 7.6250000e-06  7.6250000e-06  7.6250000e-06  1.0802165e+00 
 7.6750000e-06  7.6750000e-06  7.6750000e-06  1.0759008e+00 
 7.7250000e-06  7.7250000e-06  7.7250000e-06  1.0715245e+00 
 7.7750000e-06  7.7750000e-06  7.7750000e-06  1.0670902e+00 
 7.8250000e-06  7.8250000e-06  7.8250000e-06  1.0626008e+00 
 7.8750000e-06  7.8750000e-06  7.8750000e-06  1.0580599e+00 
 7.9250000e-06  7.9250000e-06  7.9250000e-06  1.0534713e+00 
 7.9750000e-06  7.9750000e-06  7.9750000e-06  1.0488395e+00 
 8.0250000e-06  8.0250000e-06  8.0250000e-06  1.0441692e+00 
 8.0750000e-06  8.0750000e-06  8.0750000e-06  1.0394653e+00 
 8.1250000e-06  8.1250000e-06  8.1250000e-06  1.0347327e+00 
 8.1750000e-06  8.1750000e-06  8.1750000e-06  1.0299764e+00 
 8.2250000e-06  8.2250000e-06  8.2250000e-06  1.0252010e+00 
 8.2750000e-06  8.2750000e-06  8.2750000e-06  1.0204109e+00 
