 time           time           time           v(net6)       
 0.0000000e+00  0.0000000e+00  0.0000000e+00  3.0099225e-03 
 5.0000000e-10  5.0000000e-10  5.0000000e-10  3.0099225e-03 
 1.0000000e-09  1.0000000e-09  1.0000000e-09  3.0099225e-03 
 2.0000000e-09  2.0000000e-09  2.0000000e-09  3.0099225e-03 
 4.0000000e-09  4.0000000e-09  4.0000000e-09  3.0099225e-03 
 8.0000000e-09  8.0000000e-09  8.0000000e-09  3.0099225e-03 
 1.6000000e-08  1.6000000e-08  1.6000000e-08  3.0099225e-03 
 3.2000000e-08  3.2000000e-08  3.2000000e-08  3.0099225e-03 
 6.4000000e-08  6.4000000e-08  6.4000000e-08  3.0099225e-03 
 1.1400000e-07  1.1400000e-07  1.1400000e-07  3.0099225e-03 
 1.6400000e-07  1.6400000e-07  1.6400000e-07  3.0099225e-03 
 2.1400000e-07  2.1400000e-07  2.1400000e-07  3.0099225e-03 
 2.6400000e-07  2.6400000e-07  2.6400000e-07  3.0099225e-03 
 3.1400000e-07  3.1400000e-07  3.1400000e-07  3.0099225e-03 
 3.6400000e-07  3.6400000e-07  3.6400000e-07  3.0099225e-03 
 4.1400000e-07  4.1400000e-07  4.1400000e-07  3.0099225e-03 
 4.6400000e-07  4.6400000e-07  4.6400000e-07  3.0099225e-03 
 5.0000000e-07  5.0000000e-07  5.0000000e-07  3.0099225e-03 
 5.0359147e-07  5.0359147e-07  5.0359147e-07  2.6337527e-03 
 5.1077440e-07  5.1077440e-07  5.1077440e-07  2.0396842e-03 
 5.1825219e-07  5.1825219e-07  5.1825219e-07  2.6731542e-03 
 5.2589843e-07  5.2589843e-07  5.2589843e-07  5.6604360e-03 
 5.3844545e-07  5.3844545e-07  5.3844545e-07  1.7140997e-02 
 5.5389259e-07  5.5389259e-07  5.5389259e-07  4.4918817e-02 
 5.7232972e-07  5.7232972e-07  5.7232972e-07  8.9768705e-02 
 5.8618131e-07  5.8618131e-07  5.8618131e-07  1.2439607e-01 
 6.0270332e-07  6.0270332e-07  6.0270332e-07  1.6824076e-01 
 6.1774359e-07  6.1774359e-07  6.1774359e-07  2.1347215e-01 
 6.4782414e-07  6.4782414e-07  6.4782414e-07  3.1664664e-01 
 6.9782414e-07  6.9782414e-07  6.9782414e-07  5.1057055e-01 
 7.4782414e-07  7.4782414e-07  7.4782414e-07  6.8207917e-01 
 7.9782414e-07  7.9782414e-07  7.9782414e-07  7.7651594e-01 
 8.4782414e-07  8.4782414e-07  8.4782414e-07  8.0667925e-01 
 8.9782414e-07  8.9782414e-07  8.9782414e-07  8.1361439e-01 
 9.4782414e-07  9.4782414e-07  9.4782414e-07  8.1489273e-01 
 9.9782414e-07  9.9782414e-07  9.9782414e-07  8.1505744e-01 
 1.0000000e-06  1.0000000e-06  1.0000000e-06  8.1503957e-01 
 1.0043517e-06  1.0043517e-06  1.0043517e-06  8.1501723e-01 
 1.0130552e-06  1.0130552e-06  1.0130552e-06  8.1498687e-01 
 1.0304621e-06  1.0304621e-06  1.0304621e-06  8.1495556e-01 
 1.0652758e-06  1.0652758e-06  1.0652758e-06  8.1492120e-01 
 1.1152758e-06  1.1152758e-06  1.1152758e-06  8.1490798e-01 
 1.1652758e-06  1.1652758e-06  1.1652758e-06  8.1490555e-01 
 1.2152758e-06  1.2152758e-06  1.2152758e-06  8.1490557e-01 
 1.2652758e-06  1.2652758e-06  1.2652758e-06  8.1490527e-01 
 1.3152758e-06  1.3152758e-06  1.3152758e-06  8.1490546e-01 
 1.3652758e-06  1.3652758e-06  1.3652758e-06  8.1490530e-01 
 1.4152758e-06  1.4152758e-06  1.4152758e-06  8.1490543e-01 
 1.4652758e-06  1.4652758e-06  1.4652758e-06  8.1490532e-01 
 1.5152758e-06  1.5152758e-06  1.5152758e-06  8.1490541e-01 
 1.5652758e-06  1.5652758e-06  1.5652758e-06  8.1490534e-01 
 1.6152758e-06  1.6152758e-06  1.6152758e-06  8.1490540e-01 
 1.6652758e-06  1.6652758e-06  1.6652758e-06  8.1490535e-01 
 1.7152758e-06  1.7152758e-06  1.7152758e-06  8.1490540e-01 
 1.7652758e-06  1.7652758e-06  1.7652758e-06  8.1490535e-01 
 1.8152758e-06  1.8152758e-06  1.8152758e-06  8.1490539e-01 
 1.8652758e-06  1.8652758e-06  1.8652758e-06  8.1490535e-01 
 1.9152758e-06  1.9152758e-06  1.9152758e-06  8.1490539e-01 
 1.9652758e-06  1.9652758e-06  1.9652758e-06  8.1490535e-01 
 2.0152758e-06  2.0152758e-06  2.0152758e-06  8.1490539e-01 
 2.0652758e-06  2.0652758e-06  2.0652758e-06  8.1490536e-01 
 2.1152758e-06  2.1152758e-06  2.1152758e-06  8.1490539e-01 
 2.1652758e-06  2.1652758e-06  2.1652758e-06  8.1490536e-01 
 2.2152758e-06  2.2152758e-06  2.2152758e-06  8.1490539e-01 
 2.2652758e-06  2.2652758e-06  2.2652758e-06  8.1490536e-01 
 2.3152758e-06  2.3152758e-06  2.3152758e-06  8.1490539e-01 
 2.3652758e-06  2.3652758e-06  2.3652758e-06  8.1490536e-01 
 2.4152758e-06  2.4152758e-06  2.4152758e-06  8.1490539e-01 
 2.4652758e-06  2.4652758e-06  2.4652758e-06  8.1490536e-01 
 2.5152758e-06  2.5152758e-06  2.5152758e-06  8.1490539e-01 
 2.5652758e-06  2.5652758e-06  2.5652758e-06  8.1490536e-01 
 2.6152758e-06  2.6152758e-06  2.6152758e-06  8.1490539e-01 
 2.6652758e-06  2.6652758e-06  2.6652758e-06  8.1490536e-01 
 2.7152758e-06  2.7152758e-06  2.7152758e-06  8.1490539e-01 
 2.7652758e-06  2.7652758e-06  2.7652758e-06  8.1490536e-01 
 2.8152758e-06  2.8152758e-06  2.8152758e-06  8.1490539e-01 
 2.8652758e-06  2.8652758e-06  2.8652758e-06  8.1490536e-01 
 2.9152758e-06  2.9152758e-06  2.9152758e-06  8.1490539e-01 
 2.9652758e-06  2.9652758e-06  2.9652758e-06  8.1490536e-01 
 3.0152758e-06  3.0152758e-06  3.0152758e-06  8.1490539e-01 
 3.0652758e-06  3.0652758e-06  3.0652758e-06  8.1490536e-01 
 3.1152758e-06  3.1152758e-06  3.1152758e-06  8.1490539e-01 
 3.1652758e-06  3.1652758e-06  3.1652758e-06  8.1490536e-01 
 3.2152758e-06  3.2152758e-06  3.2152758e-06  8.1490539e-01 
 3.2652758e-06  3.2652758e-06  3.2652758e-06  8.1490536e-01 
 3.3152758e-06  3.3152758e-06  3.3152758e-06  8.1490539e-01 
 3.3652758e-06  3.3652758e-06  3.3652758e-06  8.1490536e-01 
 3.4152758e-06  3.4152758e-06  3.4152758e-06  8.1490538e-01 
 3.4652758e-06  3.4652758e-06  3.4652758e-06  8.1490536e-01 
 3.5152758e-06  3.5152758e-06  3.5152758e-06  8.1490538e-01 
 3.5652758e-06  3.5652758e-06  3.5652758e-06  8.1490536e-01 
 3.6152758e-06  3.6152758e-06  3.6152758e-06  8.1490538e-01 
 3.6652758e-06  3.6652758e-06  3.6652758e-06  8.1490536e-01 
 3.7152758e-06  3.7152758e-06  3.7152758e-06  8.1490538e-01 
 3.7652758e-06  3.7652758e-06  3.7652758e-06  8.1490536e-01 
 3.8152758e-06  3.8152758e-06  3.8152758e-06  8.1490538e-01 
 3.8652758e-06  3.8652758e-06  3.8652758e-06  8.1490536e-01 
 3.9152758e-06  3.9152758e-06  3.9152758e-06  8.1490538e-01 
 3.9652758e-06  3.9652758e-06  3.9652758e-06  8.1490536e-01 
 4.0152758e-06  4.0152758e-06  4.0152758e-06  8.1490538e-01 
 4.0652758e-06  4.0652758e-06  4.0652758e-06  8.1490536e-01 
 4.1152758e-06  4.1152758e-06  4.1152758e-06  8.1490538e-01 
 4.1652758e-06  4.1652758e-06  4.1652758e-06  8.1490536e-01 
 4.2152758e-06  4.2152758e-06  4.2152758e-06  8.1490538e-01 
 4.2652758e-06  4.2652758e-06  4.2652758e-06  8.1490536e-01 
 4.3152758e-06  4.3152758e-06  4.3152758e-06  8.1490538e-01 
 4.3652758e-06  4.3652758e-06  4.3652758e-06  8.1490536e-01 
 4.4152758e-06  4.4152758e-06  4.4152758e-06  8.1490538e-01 
 4.4652758e-06  4.4652758e-06  4.4652758e-06  8.1490536e-01 
 4.5152758e-06  4.5152758e-06  4.5152758e-06  8.1490538e-01 
 4.5652758e-06  4.5652758e-06  4.5652758e-06  8.1490536e-01 
 4.6152758e-06  4.6152758e-06  4.6152758e-06  8.1490538e-01 
 4.6652758e-06  4.6652758e-06  4.6652758e-06  8.1490536e-01 
 4.7152758e-06  4.7152758e-06  4.7152758e-06  8.1490538e-01 
 4.7652758e-06  4.7652758e-06  4.7652758e-06  8.1490536e-01 
 4.8152758e-06  4.8152758e-06  4.8152758e-06  8.1490538e-01 
 4.8652758e-06  4.8652758e-06  4.8652758e-06  8.1490536e-01 
 4.9152758e-06  4.9152758e-06  4.9152758e-06  8.1490538e-01 
 4.9652758e-06  4.9652758e-06  4.9652758e-06  8.1490536e-01 
 5.0152758e-06  5.0152758e-06  5.0152758e-06  8.1490538e-01 
 5.0652758e-06  5.0652758e-06  5.0652758e-06  8.1490536e-01 
 5.1152758e-06  5.1152758e-06  5.1152758e-06  8.1490538e-01 
 5.1652758e-06  5.1652758e-06  5.1652758e-06  8.1490536e-01 
 5.2152758e-06  5.2152758e-06  5.2152758e-06  8.1490538e-01 
 5.2652758e-06  5.2652758e-06  5.2652758e-06  8.1490536e-01 
 5.3152758e-06  5.3152758e-06  5.3152758e-06  8.1490538e-01 
 5.3652758e-06  5.3652758e-06  5.3652758e-06  8.1490536e-01 
 5.4152758e-06  5.4152758e-06  5.4152758e-06  8.1490538e-01 
 5.4652758e-06  5.4652758e-06  5.4652758e-06  8.1490536e-01 
 5.5000000e-06  5.5000000e-06  5.5000000e-06  8.1490538e-01 
 5.5050000e-06  5.5050000e-06  5.5050000e-06  8.1490399e-01 
 5.5150000e-06  5.5150000e-06  5.5150000e-06  8.1490846e-01 
 5.5350000e-06  5.5350000e-06  5.5350000e-06  8.1495237e-01 
 5.5750000e-06  5.5750000e-06  5.5750000e-06  8.1509076e-01 
 5.6250000e-06  5.6250000e-06  5.6250000e-06  8.1518864e-01 
 5.6750000e-06  5.6750000e-06  5.6750000e-06  8.1489406e-01 
 5.7250000e-06  5.7250000e-06  5.7250000e-06  8.1335541e-01 
 5.7750000e-06  5.7750000e-06  5.7750000e-06  8.0828119e-01 
 5.8250000e-06  5.8250000e-06  5.8250000e-06  7.9441411e-01 
 5.8750000e-06  5.8750000e-06  5.8750000e-06  7.6259486e-01 
 5.9250000e-06  5.9250000e-06  5.9250000e-06  7.0144069e-01 
 5.9750000e-06  5.9750000e-06  5.9750000e-06  5.9500283e-01 
 6.0000000e-06  6.0000000e-06  6.0000000e-06  5.1593937e-01 
 6.0050000e-06  6.0050000e-06  6.0050000e-06  4.9658400e-01 
 6.0150000e-06  6.0150000e-06  6.0150000e-06  4.5693845e-01 
 6.0350000e-06  6.0350000e-06  6.0350000e-06  3.7819830e-01 
 6.0750000e-06  6.0750000e-06  6.0750000e-06  2.3701588e-01 
 6.1227199e-06  6.1227199e-06  6.1227199e-06  9.9066752e-02 
 6.1727199e-06  6.1727199e-06  6.1727199e-06  3.3479762e-02 
 6.2120320e-06  6.2120320e-06  6.2120320e-06  2.3896460e-02 
 6.2346596e-06  6.2346596e-06  6.2346596e-06  1.8981117e-02 
 6.2640078e-06  6.2640078e-06  6.2640078e-06  1.5696366e-02 
 6.3026824e-06  6.3026824e-06  6.3026824e-06  1.1824315e-02 
 6.3435269e-06  6.3435269e-06  6.3435269e-06  9.5634185e-03 
 6.3935269e-06  6.3935269e-06  6.3935269e-06  7.2941496e-03 
 6.4435269e-06  6.4435269e-06  6.4435269e-06  6.1150913e-03 
 6.4935269e-06  6.4935269e-06  6.4935269e-06  5.0707400e-03 
 6.5435269e-06  6.5435269e-06  6.5435269e-06  4.5677645e-03 
 6.5935269e-06  6.5935269e-06  6.5935269e-06  4.0423212e-03 
 6.6435269e-06  6.6435269e-06  6.6435269e-06  3.8264128e-03 
 6.6935269e-06  6.6935269e-06  6.6935269e-06  3.5406255e-03 
 6.7435269e-06  6.7435269e-06  6.7435269e-06  3.4487253e-03 
 6.7935269e-06  6.7935269e-06  6.7935269e-06  3.2855669e-03 
 6.8435269e-06  6.8435269e-06  6.8435269e-06  3.2498768e-03 
